_id,question,output,A,B,C,D,answer
65e952e8a37212ec0ec8f530,"#include <stdio.h>\n#include <stdlib.h>\ntypedef struct {\n    int *array;\n    size_t size;\n    size_t writeIndex;\n    size_t readIndex;\n    int isFull;\n} CircularBuffer;\nvoid initBuffer(CircularBuffer *cb, size_t size) {\n    cb->array = (int *)malloc(size * sizeof(int));\n    if (cb->array == NULL) {\n        // Handle error\n        fprintf(stderr, ""Memory allocation failed\n"");\n        exit(EXIT_FAILURE);\n    }\n    cb->size = size;\n    cb->writeIndex = 0;\n    cb->readIndex = 0;\n    cb->isFull = 0;\n}\nvoid writeBuffer(CircularBuffer *cb, int value) {\n    cb->array[cb->writeIndex] = value;\n    cb->writeIndex = (cb->writeIndex + 1) % cb->size;\n    if (cb->writeIndex == cb->readIndex) {\n        cb->isFull = 1;\n    }\n}\nint readBuffer(CircularBuffer *cb, int *value) {\n    if (!cb->isFull && cb->readIndex == cb->writeIndex) {\n        return -1; // Buffer is empty\n    }\n    *value = cb->array[cb->readIndex];\n    cb->readIndex = (cb->readIndex + 1) % cb->size;\n    cb->isFull = 0;\n    return 0; // Success\n}\nvoid freeBuffer(CircularBuffer *cb) {\n    free(cb->array);\n    cb->array = NULL;\n    cb->size = 0;\n    cb->writeIndex = 0;\n    cb->readIndex = 0;\n    cb->isFull = 0;\n}\nint main() {\n    CircularBuffer cb;\n    int bufferSize = 5;\n    initBuffer(&cb, bufferSize);\n    for (int i = 1; i <= 6; ++i) {\n        writeBuffer(&cb, i);\n        printf(""Written: %d\n"", i);\n    }\n\n    int value;\n    while (readBuffer(&cb, &value) != -1) {\n        printf(""Read: %d\n"", value);\n    }\n     freeBuffer(&cb);\n\n    return 0;\n}",Written: 1\nWritten: 2\nWritten: 3\nWritten: 4\nWritten: 5\nWritten: 6\nRead: 6,Written: 6\nWritten: 5\nWritten: 4\nWritten: 3\nWritten: 2\nWritten: 1\nRead: 1,Written: 6\nWritten: 5\nWritten: 3\nWritten: 4\nWritten: 2\nWritten: 1\nRead: 6,Written: 1\nWritten: 2\nWritten: 3\nWritten: 4\nWritten: 5\nWritten: 6\nRead: 6,Written: 6\nWritten: 5\nWritten: 4\nWritten: 1\nWritten: 5\nWritten: 2\nRead: 1,C
65e952e8a37212ec0ec8f531,"#include <stdio.h>\n#include <stdlib.h>\n#include <string.h>\n#include <ctype.h> // For toupper function\n\nint isVowel(char c) {\n    char lower = tolower(c);\n    return lower == 'a' || lower == 'e' || lower == 'i' || lower == 'o' || lower == 'u';\n}\n\nchar* transformString(char *str) {\n    size_t len = strlen(str);\n    size_t newLen = 1; // Start at 1 for the null terminator\n\n    for (size_t i = 0; i < len; ++i) {\n        if (!isVowel(str[i])) {\n            newLen += 2; // Duplicate consonants\n        } else {\n            newLen += 1;\n        }\n    }\n\n    char *newStr;\n    if (newLen <= len + 1) { // +1 for null terminator\n        newStr = str; // Modify in place\n    } else {\n        newStr = (char*)malloc(newLen * sizeof(char));\n        if (newStr == NULL) {\n            fprintf(stderr, ""Memory allocation failed\n"");\n            exit(EXIT_FAILURE);\n        }\n    }\n\n    size_t j = 0;\n    for (size_t i = 0; i < len; ++i) {\n        if (!isVowel(str[i])) {\n            newStr[j++] = str[i];\n            newStr[j++] = str[i]; // Duplicate consonants\n        } else {\n            newStr[j++] = toupper(str[i]); // Uppercase vowels\n        }\n    }\n    newStr[j] = '\0'; // Null-terminate the new string\n\n    return newStr;\n}\nint main() {\n    char inputStr[] = ""dynamic programming"";\n    char *transformedStr = transformString(inputStr);\n\n    printf(""Original: %s\n"", inputStr);\n    printf(""Transformed: %s\n"", transformedStr);\n    if (transformedStr != inputStr) {\n        free(transformedStr);\n    }\n\n    return 0;\n}",Original: dynamic programming\nTransformed: ddyynnAmmIcc  pprrOggrrAmmmmInngg,Original: dynamic programming\nTransformed: ddyYnnAmmIc  pprrOggrrAMMMInngg,Original: dynamic programming\nTransformed: ddyynnAmmIcc  pprrOggrrAmmmmInngg,Original: dynamic programming\nTransformed: ddynnAmIccC  prOgrrAmmmmInnggG,Original: dynamic programming\nTransformed: ddynnAAamIiccC  prOOgrrAmmNInnggG,B
65e952e8a37212ec0ec8f532,"#include <stdio.h>\n\nvoid foo();\nvoid bar();\nvoid baz();\n\nint main() {\n    void (*funcArray[])() = {foo, bar, baz};\n    unsigned int i;\n    char *p = (char *) &i;\n\n    p[0] = 2; \n    p[1] = 0;\n    p[2] = 0;\n    p[3] = 0;\n\n    (*funcArray[i])();\n\n    return 0;\n}\n\nvoid foo() {\n    printf(""Foo called\n"");\n}\n\nvoid bar() {\n    printf(""Bar called\n"");\n}\n\nvoid baz() {\n    printf(""Baz called\n"");\n}",Baz called,Foo called,Bar called,Baz called,All of these,C
65e952e8a37212ec0ec8f533,"#include <stdio.h>\n\nvoid mysteryFunction(int *array, int n) {\n    int i;\n    for (i = 0; i < n; i++) {\n        *(array + i) = i ^ *(array + i);\n    }\n}\n\nint main() {\n    int array[] = {1, 2, 3, 4, 5};\n    int n = sizeof(array) / sizeof(array[0]);\n\n    mysteryFunction(array, n);\n\n    printf(""Modified array: "");\n    for (int i = 0; i < n; i++) {\n        printf(""%d "", array[i]);\n    }\n    printf(""\n"");\n\n    return 0;\n}",Modified array: 1 3 1 7 1,Modified array: 1 3 1 7 1,Modified array: 3 1 7 1 2,Modified array: 1 2 4 7 2,Modified array: 1 2 4 6 3,A
65e952e8a37212ec0ec8f534,"#include <stdio.h>\n#include <math.h>\n\nint main() {\n    char str[] = ""IRON MAN"";\n\n    int index = 0;\n    while (str[index] != '\0') {\n        str[index] = (char)(str[index] + (int)sqrt(index));\n        index++;\n    }\n    char *start = str;\n    char *end = str + strlen(str) - 1;\n    while (start < end) {\n        char temp = *start;\n        *start = *end;\n        *end = temp;\n        start++;\n        end--;\n    }\n    if ((int)str[0] % 2 == 0) {\n        printf(""%s\n"", str);\n    }\n\n    return 0;\n}","PCO""OPSI","PCO""OPOO","POH""OPSE","PCO""OPSI","PGO""OPCI",C
65e952e8a37212ec0ec8f535,"#include <stdio.h>\n\nint main() {\n    \n    int x = 7, y = 4;\n    int z = ~(x & y) ^ (x | y); \n    x = x ^ y;                 \n    y = z ^ x;                 \n    z = !((y == x) && (x != 0));\n    printf(""The final value of x is "");\n    for (int i = 0; i < z; i++) {\n        printf(""%d"", x % 10);\n        x /= 10;\n    }\n    printf(""\n"");\n\n    printf(""The final value of y is %d\n"", y * 2 - 1);\n\n    return 0;\n}",The final value of x is 3\nThe final value of y is -3,The final value of x is 6\nThe final value of y is -5,The final value of x is 3\nThe final value of y is -3,The final value of x is 4\nThe final value of y is -3,The final value of x is 3\nThe final value of y is -4,B
65e952e8a37212ec0ec8f536,"#include <stdio.h>\n#include <string.h>\n\n#define MAX_LENGTH 10\nvoid generateCombinations(char set[], int n, char combination[], int index, int start) {\n    printf(""%s\n"", combination);\n    for (int i = start; i < n; i++) {\n        combination[index] = set[i];\n        combination[index + 1] = '\0';\n        generateCombinations(set, n, combination, index + 1, i + 1);\n    }\n}\n\nint main() {\n    char set[] = ""abc"";\n    int n = strlen(set);\n\n    char combination[MAX_LENGTH];\n\n    printf(""All possible combinations of the set:\n"");\n    generateCombinations(set, n, combination, 0, 0);\n\n    return 0;\n}",a\nab\nabc\nac\nb\nbc\nc,a\nac\nabc\naa\nbc\nba\nc,a            ab\nabc\nac\nb\nbc\nc,a\ncc\nabc\nac\nb\nbc\nc,a\nab\nabb\nac\nca\nbc\nc,B
65e952e8a37212ec0ec8f537,"#include <stdio.h>\n\nint i = 1;\n\nint counter1(){\n     i = i * 3;\n     printf( ""counter1()\n"");\n     return i;\n}\n\nint counter2(){\n     i = i * 5;\n     printf( ""counter2()\n"");\n     return i;\n}\n\nint foo(int i, int j){\n    return i + j;\n}\n\nint main(){\n   int x;\n   for (x=0; x<2; ++x) {\n       printf(""%d\n"", foo(counter1(), counter2()));\n   }\n\n   return 0;\n}",counter2()\ncounter1()\n20\ncounter2()\ncounter1()\n300,counter2()\ncounter1()\n20\ncounter2()\ncounter1()\n200,counter2()\ncounter1()\n10\ncounter2()\ncounter1()\n200,counter2()\ncounter1()\n20\ncounter2()\ncounter1()\n300,counter2()\ncounter1()\n20\ncounter2()\ncounter1()\n300,D
65e952e8a37212ec0ec8f538,"#include <stdio.h>\n\nint findSingle(int arr[], int n) {\n    int ones = 0, twos = 0;\n\n    int common_bit_mask;\n    for (int i = 0; i < n; i++) {\n        twos = twos | (ones & arr[i]);\n        ones = ones ^ arr[i];\n        common_bit_mask = ~(ones & twos);\n        ones &= common_bit_mask;\n        twos &= common_bit_mask;\n    }\n\n    return ones;\n}\n\nint main() {\n    int arr[] = {3, 3, 2, 3};\n    int n = sizeof(arr) / sizeof(arr[0]);\n    printf(""The element with single occurrence is %d\n"", findSingle(arr, n));\n    return 0;\n}",The element with single occurrence is 2,The element with single occurrence is 3,The element with single occurrence is 4,The element with single occurrence is 2,The element with single occurrence is 7,C
65e952e8a37212ec0ec8f539,"#include <stdio.h>\n#include <stdlib.h>\nstruct Interval {\n    int start;\n    int end;\n};\nint compareIntervals(const void *a, const void *b) {\n    return ((struct Interval*)a)->start - ((struct Interval*)b)->start;\n}\n\nvoid mergeIntervals(struct Interval intervals[], int n) {\n    if (n <= 0) return;\n    qsort(intervals, n, sizeof(struct Interval), compareIntervals);\n    int index = 0; \n    for (int i = 1; i < n; i++) {\n        if (intervals[index].end >= intervals[i].start) {\n            intervals[index].end = (intervals[index].end > intervals[i].end) ? intervals[index].end : intervals[i].end;\n        } else {\n            index++;\n            intervals[index] = intervals[i];\n        }\n    }\n    printf(""Merged Intervals: "");\n    for (int i = 0; i <= index; i++) {\n        printf(""[%d, %d] "", intervals[i].start, intervals[i].end);\n    }\n    printf(""\n"");\n}\n\nint main() {\n    struct Interval intervals[] = {{1, 3}, {2, 6}, {8, 10}, {15, 18}};\n    int n = sizeof(intervals) / sizeof(intervals[0]);\n\n    printf(""Original Intervals: "");\n    for (int i = 0; i < n; i++) {\n        printf(""[%d, %d] "", intervals[i].start, intervals[i].end);\n    }\n    printf(""\n"");\n\n    mergeIntervals(intervals, n);\n\n    return 0;\n}","Original Intervals: [1, 3] [2, 6] [8, 10] [15, 18] \nMerged Intervals: [1, 6] [8, 10] [15, 18]","Original Intervals: [1, 3] [2, 6] [8, 10] [15, 18] \nMerged Intervals: [1, 6] [8, 10] [15, 18]","Original Intervals: [1, 2] [2, 6] [7, 10] [15, 18] Original Intervals: [1, 2] [2, 6] [8, 10] [15, 18] \nMerged Intervals: [1, 2] [8, 10] [15, 18]","Original Intervals: [1, 3] [4, 6] [8, 10] [15, 18] \nMerged Intervals: [1, 6] [8, 11] [15, 8]","Original Intervals: [1, 3] [2, 4] [8, 11] [5, 18] \nMerged Intervals: [1, 6] [8, 10] [15, 18]",A
