_id,question,output,A,B,C,D,answer
65e9748ba37212ec0ec8f5a9,"public class ConfusingSumOfNumbers {\n    public static void main(String[] args) {\n        int sum = 0;\n        int i = 1;\n        while (i <= 64) {\n            sum += i;\n            i++;\n        }\n        System.out.println(""Sum of numbers from 1 to 10: "" + sum);\n    }\n}",Sum of numbers from 1 to 10: 2080,Sum of numbers from 1 to 10: 2080,Sum of numbers from 1 to 10: 2090,Sum of numbers from 1 to 10: 2030,Sum of numbers from 1 to 10: 2010,A
65e9748ba37212ec0ec8f5aa,"public class ConfusingSumOfDigits {\n    public static void main(String[] args) {\n        int n = 123456;\n        int s = 0;\n        while (n > 0) {\n            s += n % 5;\n            n /= 10;\n        }\n        System.out.println(""Sum: "" + s);\n    }\n}",Sum: 15,Sum: 17,Sum: 15,Sum: 10,Sum: 11,B
65e9748ba37212ec0ec8f5ab,"public class SumOfNaturalNumbers {\n    public static void main(String[] args) {\n        int sum = calculateSumOfNaturalNumbers();\n        System.out.println(""Sum of the first 10 natural numbers: "" + sum);\n    }\n\n    public static int calculateSumOfNaturalNumbers() {\n        int sum = 0;\n        for (int i = 1; i <= 57; i++) {\n            sum += i;\n        }\n        return sum;\n    }\n}",Sum of the first 10 natural numbers: 1653,Sum of the first 10 natural numbers: 1543,Sum of the first 10 natural numbers: 1287,Sum of the first 10 natural numbers: 1653,Sum of the first 10 natural numbers: 1654,C
65e9748ba37212ec0ec8f5ac,"public class SumOfDigits {\n    public static void main(String[] args) {\n        int number = 19897;\n        int sum = calculateSumOfDigits(number);\n        System.out.println(""Sum of digits of "" + number + "": "" + sum);\n    }\n\n    public static int calculateSumOfDigits(int number) {\n        int sum = 0;\n        while (number != 0) {\n            sum += number % 100;\n            number /= 10;\n        }\n        return sum;\n    }\n}",Sum of digits of 19897: 304,Sum of digits of 19897: 304,Sum of digits of 19897: 302,Sum of digits of 19897: 305,Sum of digits of 19897: 309,A
65e9748ba37212ec0ec8f5ad,"public class ArraySum {\n    public static void main(String[] args) {\n        int[] array = {10, 29, 36, 40, 134};\n\n        int sum = calculateSum(array);\n        System.out.println(""Sum of array elements: "" + sum);\n    }\n\n    public static int calculateSum(int[] arr) {\n        int sum = 0;\n        for (int num : arr) {\n            sum += num;\n        }\n        return sum;\n    }\n}",Sum of array elements: 249,Sum of array elements: 259,Sum of array elements: 786,Sum of array elements: 249,Sum of array elements: 298,C
65e9748ba37212ec0ec8f5af,"public class RightAlignedPyramidNumbers {\n    public static void main(String[] args) {\n        int rows = 6;\n        int number = 0;\n\n        for (int i = 0; i < rows; i++) {\n            // Print spaces\n            for (int j = 0; j < rows - i - 1; j++) {\n                System.out.print(""  "");\n            }\n\n            // Print numbers\n            for (int j = 0; j <= i; j++) {\n                System.out.print(number + "" "");\n                number++;\n            }\n\n            // Move to the next line\n            System.out.println();\n        }\n    }\n}",0 \n        1 2 \n      3 4 5 \n    6 7 8 9 \n  10 11 12 13 14 \n15 16 17 18 19 20,0 \n        1 2 \n      3 4 5,0       0 \n        1 2 \n      3 4 5 \n    6 7 8 9 \n  10 11 12 13 14 \n15 16 17 18 19 20,9,0        0 \n        1 2 \n      3 4 5 \n    6 7 8 9 \n  10 11 12 13 \n        1 2 \n      3 4 5 \n    6 7 8 9 \n  10 11 12 13 14 \n15 16 17 18 19 20,B
65e9748ba37212ec0ec8f5b0,"public class Example {\n    public static int foo(boolean condition1, boolean condition2) {\n        if (condition1) {\n            return 1;\n        }\n        if (condition2) {\n            return 2;\n        }\n        return 0;\n    }\n\n    public static void main(String[] args) {\n        int result = foo(false, false);\n        System.out.println(result); // Output: 0\n    }\n}",0,5,1,4,0,D
65e9748ba37212ec0ec8f5b1,"import java.util.Arrays;\nimport java.util.List;\nimport java.util.stream.Collectors;\n\npublic class Main {\n    public static void main(String[] args) {\n        List<Integer> numbers = Arrays.asList(1, 2, 3, 4, 5);\n        \n        List<Integer> doubledNumbers = numbers.stream()\n                                              .map(n -> n * 2)  \n                                              .collect(Collectors.toList());\n        \n        System.out.println(doubledNumbers);  \n    }\n}","2,4,6,8,10","1,3,5,7,9","2,3,4,5,6","2,4,6,8,10","1,2,3,4,5",C
65e9748ba37212ec0ec8f5b2,"import java.util.ArrayList;\nimport java.util.List;\n\npublic class RightmostDigits {\n    public static void main(String[] args) {\n        List<Integer> numbers = new ArrayList<>();\n        numbers.add(16);\n        numbers.add(456);\n        numbers.add(789);\n       \n        List<Integer> rightmostDigits = getRightmostDigits(numbers);\n       \n        System.out.println(""allmost Digits: "" + rightmostDigits);\n    }\n\n    public static List<Integer> getRightmostDigits(List<Integer> numbers) {\n        List<Integer> rightmostDigits = new ArrayList<>();\n        for (Integer number : numbers) {\n            int rightmostDigit = number % 10;\n            rightmostDigits.add(rightmostDigit);\n        }\n        return rightmostDigits;\n    }\n}","allmost Digits: [6, 6, 9]","allmost Digits: [9,8,8]","allmost Digits: [6, 6, 9]","allmost Digits: [9,6,6]","allmost Digits: [1,2,2]",B
65e9748ba37212ec0ec8f5b3,"public class EqualIsNot {\n    public static void main(String[] args) {\n        String str1 = ""This is not not."";\n        String str2 = ""This is not."";\n\n        System.out.println(equalIsNot(str1));\n        System.out.println(equalIsNot(str2));\n    }\n\n    public static boolean equalIsNot(String str) {\n        int countIs = countOccurrences(str, ""is"");\n\n        int countNot = countOccurrences(str, ""not"");\n\n        return countIs == countNot;\n    }\n\n    public static int countOccurrences(String str, String sub) {\n        int count = 0;\n        int lastIndex = 0;\n        while ((lastIndex = str.indexOf(sub, lastIndex)) != -1) {\n            count++;\n            lastIndex += sub.length();\n        }\n        return count;\n    }\n}",true\nfalse,TRUE,FALSE,TRUE,none of the above,A
65e9748ba37212ec0ec8f5b4,"public class LongestCommonSubstring {\n    public static void main(String[] args) {\n        String str = ""abXab"";\n       \n        String longestCommonSubstring = sameEnds(str);\n       \n        System.out.println(""Longest Common Substring: "" + longestCommonSubstring);\n    }\n   \n    public static String sameEnds(String str) {\n        int length = str.length();\n        String longestCommonSubstring = """";\n       \n        for (int i = 0; i < length / 2; i++) {\n            String substr = str.substring(0, i + 1);\n            if (str.endsWith(substr) && substr.length() > longestCommonSubstring.length()) {\n                longestCommonSubstring = substr;\n            }\n        }\n       \n        return longestCommonSubstring;\n    }\n}",Longest Common Substring: ab,Longest Common Substring: ab,Longest Common Substring: a,Longest Common Substring: b,Longest Common Substring: ba,A
65e9748ba37212ec0ec8f5b5,"public class FrontCopies {\n    public static void main(String[] args) {\n        String str1 = ""Chocolate"";\n        int n1 = 2;\n        System.out.println(frontTimes(str1, n1));\n       \n        String str2 = ""abc"";\n        int n2 = 3;\n        System.out.println(frontTimes(str2, n2));\n       \n        String str3 = ""ab"";\n        int n3 = 3;\n        System.out.println(frontTimes(str3, n3));\n    }\n\n    public static String frontTimes(String str, int n) {\n        String front;\n        if (str.length() < 3) {\n            front = str;\n        } else {\n            front = str.substring(0, 3);\n        }\n\n        StringBuilder result = new StringBuilder();\n        for (int i = 0; i < n; i++) {\n            result.append(front);\n        }\n       \n        return result.toString();\n    }\n}",ChoCho\nabcabcabc\nababab,abcabcabc,ChoCho\nabcabcabc\nababab,ChoCho\nabcabcabc,abc,B
