_id,question,output,A,B,C,D,answer
65e952a8a37212ec0ec8f507,"def generate_random_numbers():\n    return 54, 32\n\ndef complex_operation(a, b):\n    result = ((a * 2 + b) / 2) ** 3 - (a + b) * 5\n    return result\n\nif __name__ == ""__main__"":\n    num1, num2 = generate_random_numbers()\n    output = complex_operation(num1, num2)\n    print(""Output of Complex Operation:"", output)",342570,342568,342569,342570,342571,C
65e952a8a37212ec0ec8f50e,"def foo(x):\n    if x > 5:\n        return x * 2\n    else:\n        return x * 3\n\ndef bar(y):\n    return y + 10\n\ndef baz(z):\n    return z - 5\n\ndef main():\n    num = 9\n    result = foo(num) + bar(num) - baz(num)\n    print(""Result:"", result)\n\nif __name__ == ""__main__"":\n    main()",33,32,33,34,35,B
65e952a8a37212ec0ec8f50f,def mystery_func(x):\n    return x * 2 - 1\n\nresult = [mystery_func(x) for x in range(5)]\nprint(result[result[1]]),1,3,2,0,1,D
65e952a8a37212ec0ec8f510,"def mysterious_function(n):\n    return n + 2 * n // 3 - (n % 2) + (n % 5)\n\ndef main():\n    numbers = [1, 5, 10, 15, 20]\n\n    result = map(mysterious_function, numbers)\n    sorted_result = sorted(result, reverse=True)\n\n    final_output = sum(filter(lambda x: x % 3 != 0, sorted_result))\n\n    print(f""The mysterious output is: {final_output}"")\n\nif __name__ == ""__main__"":\n    main()",70,70,71,72,73,A
65e952a8a37212ec0ec8f511,def mystery(x):\n    if x < 0:\n        return x\n    else:\n        return mystery(x - 1) + x\n\nresult = mystery(5)\nprint(result),14,11,12,13,14,D
65e952a8a37212ec0ec8f512,"def encrypt(text):\n    encrypted_text = ''\n    for char in text:\n        encrypted_text += chr(ord(char) + 3)\n    return encrypted_text\n\nif __name__ == ""__main__"":\n    user_input = ""Hi This is Aadhi""\n    encrypted_string = encrypt(user_input)\n\n    print(""Encrypted String:"", encrypted_string)",Kl#Wklv#lv#Ddgkl,Kl#Gklv#lv#Ddgkl,Kl#Wklv#lv#Ddgkl,Kl#Wklv#lv#Ddgkd,Kl#Wklv#lv#Ddgkg,B
65e952a8a37212ec0ec8f513,"def test_1(string =""""): \n       \n    substring = """"  \n    testList = [] \n    initial = 0\n       \n    for char in string: \n           \n        for i in range(initial, len(string)): \n            substring+= string[i] \n               \n \n            if substring.count(string[i])>1: \n                testList.append(substring[:-1]) \n                initial+= 1\n                substring = """" \n                break\n    maxi ="""" \n       \n    for word in testList: \n           \n        if len(word)>len(maxi): \n            maxi = word \n               \n    if len(maxi)<3: \n        return ""-1""\n    else: \n        return maxi \n       \nprint(test_1(""character"")) \nprint(test_1(""standfan"")) \nprint(test_1(""class""))",racte\nstandf\nclass,racte\nstandf\nclass,racte\nstandf\nclasses,racte\nstandg\nclass,racta\nstandf\nclass,A
65e952a8a37212ec0ec8f514,"def diag(matrix):\n    n = len(matrix)\n    left_to_right_sum = 0\n    right_to_left_sum = 0\n    for i in range(n):\n        left_to_right_sum += matrix[i][i]\n    for i in range(n):\n        right_to_left_sum += matrix[i][n-i-1]\n    abs_difference = abs(left_to_right_sum - right_to_left_sum)\n    return abs_difference\n\ndef main():\n    matrix = [\n        [1, 2, 3],\n        [4, 5, 6],\n        [9, 8, 9]\n    ]    \n    result = diag(matrix)\n    print(result)\n\nif __name__ == ""__main__"":\n    main()",2,0,1,2,3,C
65e952a8a37212ec0ec8f515,"def creating_gen(index):  \n    months = ['jan','feb','mar','apr','may','jun','jul','aug','sep','oct','nov','dec']  \n    yield months[index]  \n    yield months[index+2]  \nnext_month = creating_gen(3)  \nprint(next(next_month), next(next_month))  ",apr jun,oct nov,aug sep,jan feb,apr jun,D
65e952a8a37212ec0ec8f516,"total = 0\nfor i in range(1, 51):\n    total += i\nprint(total)",1275,1274,1272,1275,1278,C
